ID,실행순서,라운드,우선순위,영역,화면/기능,검증 시나리오,사전조건,기대결과,플랫폼,결과,비고
QA-050,50,R2 Core,P1,설정,차단 관리,차단 목록 로드와 해제 확인,차단된 유저 1명 이상 존재,차단 목록이 최신순으로 보이고 해제 후 목록에서 사라짐,iOS/Android,,
QA-051,51,R2 Core,P2,설정,문서성 페이지,운영정책 이용약관 개인정보처리방침 저작권 페이지 확인,문서 데이터 준비,각 문서 페이지가 깨짐 없이 열리고 스크롤 가능,iOS/Android,,
QA-052,52,R2 Core,P0,설정,로그아웃,로그아웃 후 세션 게이트 복귀와 뒤로가기 스택 정리 확인,로그인 상태,로그아웃 후 로그인 화면으로 돌아가고 이전 상세 화면이 남지 않음,iOS/Android,,
QA-053,53,R2 Core,P0,설정,탈퇴,탈퇴 확인 다이얼로그 로딩 완료 흐름 확인,탈퇴 가능한 테스트 계정 준비,탈퇴 완료 후 세션이 종료되고 재사용 불가 상태 반영,iOS/Android,,
QA-054,54,R3 Edge,P1,푸시,권한 거부 시 처리,알림 권한 거부 후 앱 핵심 진입 차단 여부 확인,알림 권한 미허용 상태,권한 거부여도 세션 진입은 가능하고 진단만 남음,iOS/Android,,
QA-055,55,R3 Edge,P1,푸시,포그라운드 로컬 알림,앱 사용 중 푸시 수신 시 로컬 알림 표시 확인,포그라운드 상태에서 푸시 발송,앱이 열린 상태에서도 알림이 표시되고 탭 액션이 동작,iOS/Android,,
QA-056,56,R3 Edge,P1,푸시,딥링크 진입,푸시 탭 시 연결된 거래 상세로 이동 확인,거래 알림 푸시 수신 가능 상태,알림 탭 후 해당 거래 상세가 정확히 열림,iOS/Android,,
QA-057,57,R3 Edge,P1,오류 처리,세션 에러 재시도,세션 초기 로드 실패 시 재시도 화면 확인,네트워크 실패 유도,에러 화면이 노출되고 다시 시도 시 정상 복구 가능,iOS/Android,,
QA-058,58,R3 Edge,P1,오류 처리,게스트 도감 에러,게스트 둘러보기 도감 로드 실패와 새로고침 확인,네트워크 실패 유도,오류 문구 노출 후 새로고침으로 재시도 가능,iOS/Android,,
QA-059,59,R3 Edge,P1,오류 처리,탭별 네트워크 장애,비행장 마켓 도감 설정에서 네트워크 오류 메시지 품질 확인,오프라인 또는 서버 오류 유도,화면 크래시 없이 오류 메시지와 복구 동선 제공,iOS/Android,,
QA-060,60,R3 Edge,P1,빈 상태,데이터 없음 시나리오,비행장 마켓 홈 도감 알림 차단 목록 빈 상태 점검,각 기능의 빈 데이터 준비,빈 상태 문구와 CTA가 자연스럽고 레이아웃 깨짐이 없음,iOS/Android,,
QA-061,61,R3 Edge,P1,접근성,스크린리더와 Semantics,핵심 버튼 이미지 업로드 뒤로가기 스위치 라벨 확인,VoiceOver 또는 TalkBack 사용,스크린리더가 버튼 목적을 명확히 읽어주고 조작 가능,iOS/Android,,
QA-062,62,R3 Edge,P1,반응형,소형 화면과 큰 글자,작은 기기와 글자 확대에서 레이아웃 겹침 여부 확인,텍스트 배율 확대와 소형 디바이스 준비,주요 화면에서 버튼 잘림 오버플로우 겹침이 없음,iOS/Android,,
QA-063,63,R3 Edge,P1,내비게이션,백스택과 재진입,로그아웃 탈퇴 알림 딥링크 후 백스택 동작 확인,관련 플로우 선행 실행,뒤로가기 시 의도한 이전 화면만 남고 죽은 라우트가 없음,iOS/Android,,
QA-064,64,R3 Edge,P0,회귀,수정 후 스모크 회귀,배포 직전 핵심 흐름 재검증,주요 수정 반영 빌드 준비,R1 핵심 항목을 30분 내 다시 확인해 치명 이슈를 차단,iOS/Android,,
